"DISASTER","STATE","COUNTY","CITY","ZIP_CODE","VALID_REGISTRATIONS","AVERAGE_FEMA_INSPECTED_DAMAGE","TOTAL_INSPECTED","TOTAL_DAMAGE","NO_FEMA_INSPECTED_DAMAGE","FEMA_INSPECTED_DAMAGE_BETWEEN_1_10K","FEMA_INSPECTED_DAMAGE_BETWEEN_10K_20K","FEMA_INSPECTED_DAMAGE_BETWEEN_20K_30K","FEMA_INSPECTED_DAMAGE_GT_30K","APPROVED_FOR_FEMA_ASSISTANCE","TOTAL_APPROVED_IHP_AMOUNT","REPAIR_REPLACE_AMOUNT","RENTAL_AMOUNT"
4332,"TX","Harris (County)","GRAPELAND",75844,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HIGHLANDS",77563,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HITCHCOCK",77563,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOUSTONTT",77033,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Jefferson (County)","KERRVILLE",78028,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Gonzales (County)","KINGSBURY",78638,2,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Kleberg (County)","KINGSVILL",78363,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Kleberg (County)","KINGVILLE",78363,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","LA MARQUE",77568,2,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Hardin (County)","LUMBERTON",77625,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Jefferson (County)","LUMBERTON",77657,2,0,2,0,2,0,0,0,0,0,0,0,0
4332,"TX","Jefferson (County)","NEDERLAND",77651,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Chambers (County)","OLD RIVER",77523,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","PASADDENA",77504,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","ROSENBERG",77471,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","ROSENBREG",77469,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","ROSHARRON",77583,1,0,1,0,1,0,0,0,0,0,0,0,0
